case,fold,dice,iou,precision,recall,tp,fp,fn,tn,n_pred,n_ref,volume_difference,volume_difference_pct
AAA_063,3,0.9582632494226986,0.9198708300265456,0.961085377709155,0.955457646389994,33613,1361,1567,4157763,34974,35180,-206,-0.5855599772598067
AAA_064,3,0.9821012948696934,0.9648320504975685,0.972615859102346,0.991773566167343,59918,1687,497,4132202,61605,60415,1190,1.9697095092278407
AAA_065,4,0.9838074723315754,0.9681309845771507,0.978800055424692,0.988866387315334,105960,2295,1193,4084856,108255,107153,1102,1.0284359747277259
AAA_066,2,0.9774630587709829,0.9559195559195559,0.972198056455345,0.982785397526336,52523,1502,920,4139359,54025,53443,582,1.0890107217034972
AAA_067,2,0.9839403392834069,0.9683883509256399,0.982389855967268,0.985495724520453,106606,1911,1569,4084218,108517,108175,342,0.3161543794776982
AAA_068,1,0.9758254378409417,0.9527921058533303,0.970087909578719,0.98163123844732,42485,1310,795,4149714,43795,43280,515,1.1899260628465804
AAA_069,1,0.9807192440598147,0.962167919235558,0.98143954463384,0.98,64141,1213,1309,4127641,65354,65450,-96,-0.1466768525592055
AAA_070,2,0.9696502057613169,0.9410883674488267,0.977500502693378,0.961924995573885,92365,2126,3656,4096157,94491,96021,-1530,-1.5934014434342487
AAA_071,1,0.9802589205204174,0.961282172745934,0.984157263409745,0.976391339214114,60878,980,1472,4130974,61858,62350,-492,-0.789093825180433
AAA_072,2,0.9893980448809114,0.9790185343193022,0.985864817776081,0.992956688441637,165227,2369,1172,4025536,167596,166399,1197,0.7193552845870468
AAA_073,3,0.9690619894717735,0.9399808519769783,0.965807713616988,0.972338269946612,85417,3024,2430,4103433,88441,87847,594,0.676175623527269
AAA_074,0,0.9758952722975656,0.9529252681871451,0.961313908441098,0.990925793993026,52854,2127,484,4138839,54981,53338,1643,3.0803554688964714
AAA_075,3,0.9654072850309855,0.9331278589757893,0.943376806485724,0.98849131308356,66909,4016,779,4122600,70925,67688,3237,4.782236142299965
AAA_076,4,0.9658737447048019,0.9339998281245524,0.991681493985431,0.941375178646187,65210,547,4061,4124486,65757,69271,-3514,-5.072829899958135
AAA_077,3,0.9534097313544994,0.9109675103213067,0.974462365591398,0.933247517469658,40600,1064,2904,4149736,41664,43504,-1840,-4.229496138286135
AAA_078,4,0.9698193174213696,0.9414070112379014,0.968544632315267,0.971097362131737,43477,1412,1294,4148121,44889,44771,118,0.2635634674231087
AAA_079,1,0.9709649436138185,0.9435683824258653,0.961528095943943,0.980588861785825,28542,1142,565,4164055,29684,29107,577,1.9823410176246263
AAA_080,1,0.9827673997730131,0.9661186630803189,0.993808702557167,0.971968740898942,80098,499,2310,4111397,80597,82408,-1811,-2.1976021745461605
AAA_081,3,0.9805128619148056,0.9617707034111381,0.971736043046026,0.989449672084403,48580,1413,518,4143793,49993,49098,895,1.8228848425597783
AAA_082,4,0.9864663443266056,0.9732941168798137,0.990022952516153,0.982935198540502,149242,1504,2591,4040967,150746,151833,-1087,-0.7159181469114092
AAA_083,3,0.978950642886769,0.9587691682746013,0.983700991336965,0.974245953356724,66087,1095,1747,4125375,67182,67834,-652,-0.9611699147919922
AAA_084,3,0.9807335778048203,0.9621955128205129,0.976038364626514,0.985474181794308,60041,1474,885,4131904,61515,60926,589,0.966746544989003
AAA_085,2,0.9727528673733538,0.9469511634323554,0.980310387508331,0.965310982355478,51481,1034,1850,4139939,52515,53331,-816,-1.5300669404286438
AAA_086,1,0.913385291145145,0.8405788028653961,0.847307737381568,0.990640710800072,93991,16938,888,4082487,110929,94879,16050,16.916282844465055
AAA_087,2,0.966254791069179,0.9347127152043144,0.973797947055646,0.958827597212618,18025,485,774,4175020,18510,18799,-289,-1.537315814670993
AAA_088,4,0.9789799102600134,0.9588253160712252,0.980833462793227,0.977133350099631,50509,987,1182,4141626,51496,51691,-195,-0.37724168617360854
AAA_089,3,0.9747983175894642,0.9508356592796853,0.981021441954063,0.968653648509764,28275,547,915,4164567,28822,29190,-368,-1.2607057211373758
AAA_090,1,0.9810863683300147,0.962874906994843,0.98823818552068,0.974037321890491,112588,1340,3001,4077375,113928,115589,-1661,-1.4369879486802377
AAA_091,3,0.9835437112603306,0.9676202726630301,0.979645811394165,0.987472753644327,121865,2532,1546,4068361,124397,123411,986,0.798956332903874
AAA_092,4,0.9821194519943157,0.964867099502555,0.98513679956822,0.979120531477381,71185,1074,1518,4120527,72259,72703,-444,-0.6107038224007263
AAA_093,1,0.9496610852878302,0.9041472918749004,0.978429897165789,0.922535731705515,62416,1376,5241,4125271,63792,67657,-3865,-5.712638751348715
AAA_094,1,0.9727611014636567,0.946966769706337,0.973582282252458,0.971941304778901,19606,532,566,4173600,20138,20172,-34,-0.16855046599246482
AAA_095,2,0.9758533562166285,0.9528453392296055,0.979589395099541,0.97214570668693,40939,853,1173,4151339,41792,42112,-320,-0.7598784194528876
AAA_096,0,0.9655806352772954,0.9334518167456556,0.963828398988663,0.967339254287234,23635,887,798,4168984,24522,24433,89,0.3642614496787132
AAA_097,2,0.9822595231454483,0.9651375232527238,0.9830155803292,0.981504628065671,58109,1004,1095,4134096,59113,59204,-91,-0.15370583068711574
AAA_098,4,0.9782634540699057,0.9574517599146708,0.970933548349033,0.985704873520075,49371,1478,716,4142739,50849,50087,762,1.5213528460478767
AAA_099,1,0.960418648905804,0.923851363719568,0.972571942446043,0.948565342688886,15141,427,821,4177915,15568,15962,-394,-2.46836236060644
AAA_100,2,0.9660839122223818,0.934392958619069,0.984690891080193,0.948167096620347,43738,680,2391,4147495,44418,46129,-1711,-3.7091634329814216
AAA_101,0,0.937689034019432,0.8826878984101388,0.897131882202305,0.98208679076026,35033,4017,639,4154615,39050,35672,3378,9.469612020632429
